Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
Портная-швея,50000— 70000 руб.,['профессионализм'],"['Пенсионерам', 'Людям с инвалидностью']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КИРЬЯКОВА ЛЮДМИЛА ПАВЛОВНА,['Селигерская'],"Селигерская,г Москва, ул Ангарская, д 41",Москва,Работа в сфере бытовых услуг,Швея,от 1 года,любое,https://www.rabota.ru/vacancy/49961212/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,70000
"Парикмахер-универсал, колорист",от 50000 руб.,"['ответственность', 'пунктуальность', 'умение работать в команде', 'обучаемость', 'продажа услуг', 'женская стрижка', 'окрашивание волос', 'укладка', 'мелирование', 'свадебные прически', 'колорирование', 'детская стрижка', 'креативные стрижки', 'мужская стрижка', 'химическая завивка', 'уход за волосами', 'тонирование', 'классические стрижки', 'вечерние прически', 'Укладка волос', 'парикмахер', 'Укладки', 'Женские стрижки', 'детские стрижки', 'мужские стрижки', 'стрижки женские', 'Прически', 'Стрижка', 'Сложное окрашивание', 'Окрашивание любой сложности', 'выход из черного', 'Яркое Окрашивание']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ШИЛОВ ВЛАДИМИР,['Измайловская'],"Измайловская,г Москва, ул Парковая 3-я, д 7/17",Москва,Работа в сфере красоты,Парикмахер,от 3 лет,любое,https://www.rabota.ru/vacancy/49734020/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,
Бариста,20000— 40000 руб.,"['пунктуальность', 'аккуратность', 'грамотная речь', 'обучаемость', 'обслуживание гостей', 'приготовление напитков', 'уборка рабочей зоны', 'приготовление кофе', 'Быстрая обучаемость', 'приветливость']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ИВАНОВ ИВАН АЛЕКСАНДРОВИЧ,['Баррикадная'],"Баррикадная,г Москва, ул Садовая-Кудринская, д 1",Москва,Работа в ресторанах,,без опыта,любое,https://www.rabota.ru/vacancy/48996487/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,20000,40000
"Врач - акушер-гинеколог, УЗИ",от 50000 руб.,"['ответственность', 'пунктуальность', 'коммуникабельность', 'доброжелательность', 'лечение пациентов', 'диагностика заболеваний', 'действующий сертификат', 'амбулаторный прием', 'консультирование пациентов', 'составление плана лечения', 'осмотр пациентов', 'УЗИ', 'Работа в команде', 'кольпоскопия']",['Пенсионерам'],"ООО ""ПРЕМЕД""","['Тверская,', 'Площадь Революции,', 'Кузнецкий мост,', 'Пушкинская,', 'Лубянка,', 'Охотный ряд,', 'Чеховская,', 'Трубная']","Тверская, Площадь Революции, Кузнецкий мост, Пушкинская, Лубянка, Охотный ряд, Чеховская, Трубная,г Москва",Москва,Работа в сфере медицины,Врач,от 10 лет,высшее,https://www.rabota.ru/vacancy/48859872/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,
Повар-универсал,65000— 75000 руб.,"['приготовление полуфабрикатов', 'приготовление холодных блюд', 'приготовление соусов', 'приготовление мясных блюд']",Без тега,"ООО ""РЕМСПЕЦТЕХНИК""","['Красносельская,', 'Рижская']","Красносельская, Рижская,г Москва, ул 2-я Рыбинская, д 13",Москва,Работа в ресторанах,Повар,от 1 года,среднее профессиональное,https://www.rabota.ru/vacancy/48784925/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,65000,75000
Швея,50000— 60000 руб.,['ремонт одежды'],Без тега,Индивидуальный предприниматель Инджян Вазген Арменакович,['Университет'],"Университет,г Москва, Ленинский пр-кт, д 79",Москва,Работа в сфере бытовых услуг,,от 3 лет,любое,https://www.rabota.ru/vacancy/47029821/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,60000
Официант,30000— 80000 руб.,"['пунктуальность', 'стрессоустойчивость', 'доброжелательность', 'прием заказов', 'стандарты сервиса', 'R-Keeper', 'обслуживание гостей', 'приготовление коктейлей', 'приготовление напитков', 'консультирование гостей', 'уборка столов', 'умение продавать', 'подача блюд и напитков согласно установленным правилам обслуживания', 'поддержание чистоты в зале']",['Быстрый отклик'],"ООО ""БАХЕТ""",['Коньково'],"Коньково,г Москва, ул Профсоюзная, д 126 к 2",Москва,Работа в ресторанах,,от 1 года,любое,https://www.rabota.ru/vacancy/46996208/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,30000,80000
Бариста-кассир,70000— 90000 руб.,"['пунктуальность', 'внимательность', 'трудолюбие', 'умение работать в команде', 'уборка рабочей зоны', 'приготовление кофе', 'работа с кассовой документацией']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ТРОФИМОВ ВЛАДИМИР КОНСТАНТИНОВИЧ,['Маяковская'],"Маяковская,г Москва, ул 1-я Тверская-Ямская, д 18",Москва,Работа в ресторанах,,от 1 года,любое,https://www.rabota.ru/vacancy/54251047/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,90000
Менеджер по продажам тепловой техники,от 100000 руб.,"['активные продажи', 'выполнение плана продаж', 'подготовка коммерческих предложений', 'сопровождение сделки', 'поддержание клиентской базы']",Без тега,ООО Аквалайн,['Калитники'],"Калитники,г Москва, ул Подъёмная, д 14 стр 37",Москва,Работа в торговле,Менеджер по продажам,от 3 лет,любое,https://www.rabota.ru/vacancy/53778861/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,
Автомеханик,от 120000 руб.,"['стрессоустойчивость', 'устройство автомобилей', 'ремонт автомобилей', 'ремонт легковых автомобилей', 'проведение ТО', 'шиномонтаж', 'сход-развал', 'ремонт ходовой части', 'техническое обслуживание автомобилей', 'ремонт двигателя', 'диагностика автомобилей', 'замена сцепления', 'замена ремня ГРМ', 'диагностика ходовой части', 'ремонт тормозной системы', 'диагностика неисправностей автомобилей', 'Знание устройства автомобиля']",Без тега,ИП Дубенецкая Юлия Владимировна,['Крылатское'],"Крылатское,г Москва, ул Крылатские Холмы, д 24 к 4",Москва,Механик,,от 5 лет,среднее профессиональное,https://www.rabota.ru/vacancy/53708612/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,120000,
Бариста,от 63000 руб.,"['пунктуальность', 'стрессоустойчивость', 'грамотная речь', 'обучаемость', 'доброжелательность', 'обслуживание гостей', 'приготовление напитков', 'консультирование гостей', 'приготовление кофе', 'работа за барной стойкой']",Без тега,"ООО ""ГЛОСС""","['Курская,', 'Курская,', 'Таганская,', 'Римская,', 'Чкаловская,', 'Площадь Ильича,', 'Марксистская,', 'Курская,', 'Курская,', 'Серп и Молот']","Курская, Курская, Таганская, Римская, Чкаловская, Площадь Ильича, Марксистская, Курская, Курская, Серп и Молот,г Москва, Наставнический пер, д 17 стр 1",Москва,Работа в ресторанах,,от 1 года,любое,https://www.rabota.ru/vacancy/52781217/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,63000,
